Length,Material,Vel_Liv,Vel_Pes,Carriles,Tipo,Nombre,Start,,End,
11.080585,Pavimento,109,79,,Ruta,RN 40,-66.042844,-26.601551,-66.011809,-26.509338
57.907874,Tierra,25,17,,Ruta,RN 40,-66.044306,-25.694592,-66.283969,-25.439472
45.884441,Ripio,28,19,,Ruta,RN 40,-66.283969,-25.439472,-66.159723,-25.120195
11.838805,Pavimento,70,48,,Ruta,RN 40,-66.159723,-25.120195,-66.091222,-25.049560
0.500558,Pavimento,109,79,1,Ruta,RP 22,-63.936543,-29.785194,-63.941719,-29.785271
7.828465,Pavimento,109,79,1,Ruta,RP 22,-63.941719,-29.785271,-63.998871,-29.759760
5.324907,Pavimento,109,79,1,Ruta,RP 22,-63.908878,-29.825886,-63.936543,-29.785194
9.697342,Pavimento,109,79,1,Ruta,RP 22,-63.884762,-29.908665,-63.908878,-29.825886
2.862324,SIN DATO,,,1,Ruta,RP 22,-63.884762,-29.908665,-63.856995,-29.912394
45.859816,Pavimento,109,79,1,Ruta,RN 9,-63.726460,-29.915516,-63.704928,-29.516017
43.684471,Pavimento,109,79,1,Ruta,RN 9,-63.704928,-29.516017,-63.903831,-29.193401
2.109741,Pavimento,109,79,,Ruta,RP 13,-63.688473,-29.504412,-63.704928,-29.516017
1.331912,Pavimento,109,79,,Ruta,RP 63,-63.677010,-29.498909,-63.688473,-29.504412
1.854242,Pavimento,109,79,,Ruta,RP 13,-63.664791,-29.486656,-63.677010,-29.498909
1.036305,Pavimento,109,79,,Ruta,RP 13,-63.654453,-29.485611,-63.664791,-29.486656
3.203858,Pavimento,109,79,,Ruta,RP 13,-63.639347,-29.463289,-63.654453,-29.485611
2.536907,Pavimento,109,79,,Ruta,RP 13,-63.623661,-29.450462,-63.639347,-29.463289
2.606626,Pavimento,109,79,,Ruta,RP 13,-63.603176,-29.461220,-63.623661,-29.450462
6.847449,Pavimento,109,79,,Ruta,RP 13,-63.552052,-29.421368,-63.603176,-29.461220
2.526189,Pavimento,109,79,,Ruta,RP 13,-63.531914,-29.406971,-63.552052,-29.421368
