LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
12.69,"506","40",RN,RN 40,SAN JUAN,Pavimento,"0","1",Avenida,L,"60","45"
23.28,"891",A01,RN,RN A01,SAN JUAN,Pavimento,"0",,Ruta,L,"109","79"
7.61,"885","20",RN,RN 20,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
31.30,"894",A01,RN,RN A01,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
4.29,"1686","230",RP,RP 230,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
19.97,"1704",A01,RN,RN A01,SAN JUAN,Pavimento,"0","1",AutovIa,L,"112","80"
3.81,"1685","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
5.26,"1690","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
2.11,"1684","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
1.55,"1683","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
1.33,"1682","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
0.61,"1681","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
1.60,"1680","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
3.67,"1687","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
0.37,"1689","230",RP,RP 230,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
0.60,"1688","230",RP,RP 230,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
252.24,"646","7",RN,RN 7,MENDOZA,Pavimento,"1","1",AutovIa,L,"112","80"
77.31,"975","142",RN,RN 142,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
50.68,"1044","20",RN,RN 20,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
0.14,"243","20",RN,RN 20,MENDOZA,Pavimento,"0",,Ruta,L,"109","79"
96.48,"125","141",RN,RN 141,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
82.32,"242","20",RN,RN 20,SAN JUAN,Pavimento,"0",,Ruta,L,"109","79"
1.78,"1674","75",RP,RP 75,SAN JUAN,SIN DATO,"0",,Ruta,L,,
0.70,"1675","75",RP,RP 75,SAN JUAN,SIN DATO,"0",,Ruta,L,,
4.18,"1676","75",RP,RP 75,SAN JUAN,SIN DATO,"0",,Ruta,L,,
2.43,"1677","75",RP,RP 75,SAN JUAN,SIN DATO,"0",,Ruta,L,,
1.95,"1678","75",RP,RP 75,SAN JUAN,SIN DATO,"0",,Ruta,L,,
1.84,"1679","170",RP,RP 170,SAN JUAN,Pavimento,"0","1",Ruta,L,"109","79"
